file,id,episode,category,start,end,dur,method,cutaways,note,holds,cuts,tags
S02E02_S02E02-bumper-00_advert.mp4,S02E02-bumper-00,S02E02,advert,00:01:44.000,00:02:11.027,23.657,bezel,1,,00:01:44.00-00:01:48.14; 00:01:55.60*-00:01:56.00; 00:01:59.37-00:02:04.60; 00:02:06.93*-00:02:11.59,00:01:56.00-00:01:59.37,advert
S02E07_S02E07-screen-00_news.mp4,S02E07-screen-00,S02E07,news,00:02:14.000,00:02:32.645,16.295,screen_only,0,,00:02:14.00-00:02:18.99,00:02:16.64-00:02:18.99,news
S02E08_S02E08-screen-00_screen.mp4,S02E08-screen-00,S02E08,screen,00:01:23.000,00:02:52.24,38.840,screen_only,1,,,00:01:32.89-00:01:39.59; 00:01:45.04-00:02:05.84; 00:02:08.98-00:02:12.38; 00:02:16.40-00:02:31.33; 00:02:33.43-00:02:38.00,screen+sports
S02E08_S02E08-screen-01_advert.mp4,S02E08-screen-01,S02E08,advert,00:02:57.70,00:03:36.71,39.010,screen_only,1,,00:02:57.70-00:03:04.927; 00:03:11.494-00:03:12.517; 00:03:22.516-00:03:23.836; 00:03:30.12*-00:03:36.71,,advert
S02E09_S02E09-screen-03_itchy_scratchy.mp4,S02E09-screen-03,S02E09,itchy_scratchy,00:05:24.894,00:05:36.6,11.706,screen_only,0,,,,itchy_scratchy
S02E09_S02E09-kent_brockman-01_itchy_scratchy.mp4,S02E09-kent_brockman-01,S02E09,itchy_scratchy,00:10:40.41,00:10:53.652,13.242,bezel,0,,00:10:39.000-00:10:40.386,,itchy_scratchy
S02E09_S02E09-itchy_scratchy-02_itchy_scratchy.mp4,S02E09-itchy_scratchy-02,S02E09,itchy_scratchy,00:15:58,00:17:14.06,49.390,bezel,0,,00:15:58.000-00:15:58.990,00:16:27.26-00:16:40.32; 00:16:52.63-00:17:02.30; 00:17:04.06-00:17:08.00,itchy_scratchy+music
S02E09_S02E09-screen-05_itchy_scratchy.mp4,S02E09-screen-05,S02E09,itchy_scratchy,00:21:15.30,00:21:29.038,13.738,screen_only,1,,00:21:15.30-00:21:16.98,,itchy_scratchy
S02E12_S02E12-mcbain-00_mcbain_mendoza.mp4,S02E12-mcbain-00,S02E12,mcbain&mendoza,00:01:04,00:01:59.14,50.256,bezel,1,,00:01:04.000-00:01:04.528; 00:01:36.731*-00:01:36.769,00:01:36.769-00:01:41.653; 00:02:01.585-00:02:03.037,mcbain+mendoza
S02E13_S02E13-screen-02_screen.mp4,S02E13-screen-02,S02E13,screen,00:03:52.92,00:04:04.84,7.453,screen_only,1,,00:03:55.925*-00:03:55.963; 00:04:00.430-00:04:01.860,00:03:55.963-00:04:00.43,screen
S02E13_S02E13-troy_mcclure-00_troy_mcclure.mp4,S02E13-troy_mcclure-00,S02E13,troy_mcclure,00:07:53.861,00:08:27.059,30.358,mask,1,,00:08:04.489-00:08:09.866; 00:08:26.514*-00:08:27.059,00:08:07.01-00:08:09.85,troy_mcclure
S02E13_S02E13-screen-03_sports.mp4,S02E13-screen-03,S02E13,sports,00:17:13.02,00:20:25.81,52.950,screen_only,0,,00:17:13.02-00:17:16.79; 00:19:45.50-00:19:52.90; 00:19:55.18*-00:20:06.85,00:17:44.65-00:19:45.50; 00:19:56.59-00:19:59.58; 00:20:06.85-00:20:22.85,sports
S02E15_S02E15-mcbain-00_mendoza.mp4,S02E15-mcbain-00,S02E15,mendoza,00:00:52.74,00:02:01.33,65.840,no_yellow,0,,,00:01:38.29-00:01:41.04,mcbain+mendoza
S02E17_S02E17-kent_brockman-00_kent_brockman.mp4,S02E17-kent_brockman-00,S02E17,kent_brockman,00:14:43,00:15:11.32,28.320,anchor_only,0,,,,kent_brockman
S02E18_S02E18-krusty-00_krusty.mp4,S02E18-krusty-00,S02E18,krusty,00:00:53.96,00:02:07.40,67.520,no_yellow,0,,00:01:32.870*-00:01:32.980; 00:01:48.930-00:01:50.210,00:01:32.98-00:01:38.90,krusty
S02E18_S02E18-screen-01_news.mp4,S02E18-screen-01,S02E18,news,00:05:01.64,00:05:31.9,29.360,screen_only,1,,00:05:09.30*-00:05:12.27,00:05:15.86-00:05:16.76,krusty+news
S02E20_S02E20-mcbain-00_mendoza.mp4,S02E20-mcbain-00,S02E20,mendoza,00:14:59.50,00:15:13.20,13.700,anchor_only,0,,00:14:59.50-00:15:00.73,,mendoza
S02E21_S02E21-screen-00_screen.mp4,S02E21-screen-00,S02E21,screen,00:03:42.00,00:04:00.82,18.820,screen_only,1,,,,radioactive_man+screen
S03E01_S03E01-screen-00_itchy_scratchy.mp4,S03E01-screen-00,S03E01,itchy_scratchy,00:08:13.41,00:08:29.80,16.390,screen_only,0,,00:08:13.41-00:08:15.25,,itchy_scratchy
S03E03_S03E03-itchy_scratchy-00_itchy_scratchy.mp4,S03E03-itchy_scratchy-00,S03E03,itchy_scratchy,00:06:27,00:06:52.59,25.590,mask,1,,00:06:27.00-00:06:28.71,,itchy_scratchy
S03E03_S03E03-itchy_scratchy-03_itchy_scratchy.mp4,S03E03-itchy_scratchy-03,S03E03,itchy_scratchy,00:07:21.92,00:07:52.1,30.180,manual,0,,00:07:21.92-00:07:23.04,,itchy_scratchy
S03E03_S03E03-itchy_scratchy-01_itchy_scratchy.mp4,S03E03-itchy_scratchy-01,S03E03,itchy_scratchy,00:10:29.49,00:10:34.46,4.970,anchor_only,0,,,,itchy_scratchy
S03E04_S03E04-troy_mcclure-00_troy_mcclure.mp4,S03E04-troy_mcclure-00,S03E04,troy_mcclure,00:03:52.14,00:04:22.67,30.530,no_yellow,0,,,,troy_mcclure
S03E04_S03E04-itchy_scratchy-01_itchy_scratchy.mp4,S03E04-itchy_scratchy-01,S03E04,itchy_scratchy,00:07:53.81,00:08:14.74,20.930,no_yellow,0,,00:07:53.81-00:07:57.05,,itchy_scratchy
S03E04_S03E04-screen-02_news.mp4,S03E04-screen-02,S03E04,news,00:09:23.10,00:10:11.58,48.480,screen_only,1,,00:09:23.10-00:09:28.92,,news
S03E04_S03E04-screen-03_advert.mp4,S03E04-screen-03,S03E04,advert,00:21:08.44,00:21:32.88,24.440,screen_only,0,,00:21:08.44-00:21:22.60,,advert
S03E05_S03E05-screen-02_kent_brockman.mp4,S03E05-screen-02,S03E05,kent_brockman,00:05:34.24,00:10:26.91,77.480,screen_only,1,,00:05:34.24-00:05:35.61; 00:06:02.61*-00:06:06.17; 00:06:16.36*-00:06:40.20; 00:10:09.15-00:10:12.06; 00:10:12.90-00:10:15.67; 00:10:24.13*-00:10:26.91,00:06:04.49-00:06:06.17; 00:06:16.44-00:06:21.00;00:06:40.20-0:10:09.15,kent_brockman
S03E05_S03E05-itchy_scratchy-00_itchy_scratchy.mp4,S03E05-itchy_scratchy-00,S03E05,itchy_scratchy,00:12:49.59,00:13:13.56,23.970,mask,1,,00:12:49.59-00:12:51.80,,itchy_scratchy
S03E06_S03E06-itchy_scratchy-00_itchy_scratchy.mp4,S03E06-itchy_scratchy-00,S03E06,itchy_scratchy,00:12:17.27,00:12:56.04,37.070,bezel,1,,00:12:21.000-00:12:21.990,00:12:35.85-00:12:37.55,itchy_scratchy
S03E06_S03E06-itchy_scratchy-02_krusty.mp4,S03E06-itchy_scratchy-02,S03E06,krusty,00:19:59.43,00:21:47.00,77.710,no_yellow,0,,00:21:25.08-00:21:31.49,00:20:17.68-00:20:43.62; 00:21:27.53-00:21:31.45,krusty+music
S03E07_S03E07-screen-00_krusty.mp4,S03E07-screen-00,S03E07,krusty,00:12:27.40,00:13:07.83,40.430,screen_only,0,,00:12:27.40-00:12:34.15; 00:12:37.33*-00:12:44.13,,krusty
S03E08_S03E08-screen-00_screen.mp4,S03E08-screen-00,S03E08,screen,00:00:54.00,00:01:30.67,36.670,screen_only,1,,,,screen
S03E09_S03E09-troy_mcclure-00_troy_mcclure.mp4,S03E09-troy_mcclure-00,S03E09,troy_mcclure,00:01:41.17,00:03:14.63,80.320,mask,1,,00:01:41.17-00:01:43.19; 00:02:07.50-00:02:16.21; 00:02:52.12-00:03:07.14,00:02:31.62-00:02:37.61; 00:02:50.31-00:02:52.12; 00:02:59.02-00:03:04.36,troy_mcclure
S03E09_S03E09-mcbain-01_mendoza.mp4,S03E09-mcbain-01,S03E09,mendoza,00:04:48.90,00:05:51.93,63.030,anchor_only,0,,,,mcbain+mendoza
S03E09_S03E09-screen-03_screen.mp4,S03E09-screen-03,S03E09,screen,00:06:41.82,00:07:00.52,18.700,screen_only,1,,00:06:41.82-00:06:44.17; 00:06:50.86*-00:06:55.60; 00:06:57.93-00:07:00.52,,screen+sports
S03E10_S03E10-kent_brockman-00_kent_brockman.mp4,S03E10-kent_brockman-00,S03E10,kent_brockman,00:01:38.83,00:02:14.60,33.820,mask,1,,00:01:38.83-00:01:39.25; 00:01:53.32-00:01:54.48; 00:02:04.00*-00:02:08.12; 00:02:13.47*-00:02:14.60,00:01:51.37-00:01:53.32,kent_brockman
